,Unnamed: 0,screen_name,happy_img_idx,angry_img_idx,person_name,clean_text,binaryLabel,rq,cluster_labels,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,m0_anger,m0_happiness,m0_calm,m1_disgust,m1_sadness,m1_surprise,dpfc_angry,dpfc_disgust,dpfc_fear,dpfc_happy,dpfc_sad,dpfc_surprise,dpfc_neutral
150,31063,ABCWorldNews,9596,13658,Hillary Clinton,Correction: Veteran FBI official briefly involved in the launch of the federal probe into Hillary Clinton's private…,Real,2,100,-1.6,12.5,140.4,-0.22,0.183,-0.125,1.32,1.16,0.13,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,1.55,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4706318080425263,0.2102847546339035,0.3190835118293762,0.0,0.0,1.0,0.008899678476154804,9.665372999734243e-07,0.5040696263313293,2.9667275157407854e-05,0.007455618120729923,0.4778640568256378,0.0016803897451609373
151,36256,washingtonpost,9794,14132,Hillary Clinton,Joe Biden squashes idea that he might have taken over Hillary Clinton’s presidential run,Real,2,100,13.3,11.8,145.9,-0.161,0.01,-0.107,1.6,0.32,0.0,0.7,1.77,1.72,0.15,1.08,1.97,0.24,0.15,0.0,1.12,0.0,0.94,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3152730464935303,0.6847269535064697,0.0,0.03992535173892975,0.9480576515197754,0.012017050758004187,2.4016338505579443e-13,2.7294912725770405e-24,5.733829447210954e-15,1.0,1.0491141289037389e-09,2.4185988281577586e-11,1.2820562667048565e-10
152,33870,voxdotcom,9903,14115,Hillary Clinton,How the White House responded to Manafort charges: Hillary Clinton! No collusion! Tax reform!,Real,2,100,-8.2,11.5,141.5,-0.146,0.17,-0.064,1.24,0.0,0.14,0.0,0.79,0.61,0.36,0.66,0.85,0.0,0.18,0.0,0.0,0.0,0.93,1.03,0.38,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.3816444575786591,0.3631571531295776,0.2551984488964081,0.1602715402841568,0.8397284746170044,0.0,9.857131999524427e-07,3.712331819987618e-13,0.00018593910499475896,0.999811589717865,1.4194648656484787e-06,7.610114494127629e-08,3.796533365463262e-10
153,3864,AP,9324,14072,Hillary Clinton,Former DNC chief Donna Brazile says she considered replacing Hillary Clinton with Joe Biden as presidential nominee.,Real,2,100,19.5,15.1,142.1,-0.166,-0.11900000000000001,-0.013999999999999999,0.27,0.38,0.62,1.17,0.26,0.35,0.22,1.12,0.84,0.05,0.34,0.0,0.0,0.0,0.45,1.08,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3787104189395905,0.451266348361969,0.17002320289611814,0.04742561653256416,0.9525743722915648,0.0,0.0012641777284443376,4.979515931535783e-12,0.0021790890023112297,0.18970003724098208,0.0001410572585882619,0.0043067364022135735,0.8024089932441711
154,4888,TelegraphNews,9952,14356,Hillary Clinton,Former Democrat chief considered replacing Hillary Clinton with Joe Biden,Real,2,100,0.6,19.6,127.8,-0.161,0.08,-0.013999999999999999,1.16,0.6,0.83,1.17,1.18,0.85,0.06,0.0,1.86,0.88,0.36,0.69,1.6,0.35,1.02,1.28,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4693967700004578,0.4247509241104126,0.10585229098796843,0.10810217261314392,0.40695181488990784,0.4849459826946258,0.004150192253291607,1.0593394108582288e-05,0.15603192150592804,0.15235312283039093,0.02961181290447712,0.011099088005721569,0.6467432379722595
155,15637,WashTimes,9297,9902,Hillary Clinton,Hillary Clinton’s birthday wraps with Donald Trump Jr. Twitter roast - - @washtimes,Real,2,100,13.1,24.7,139.6,-0.129,-0.281,-0.032,0.46,0.0,0.0,0.0,1.54,2.81,0.06,3.76,2.57,1.56,1.56,0.06,1.35,0.0,1.48,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3044891953468323,0.6955108046531677,0.0,0.0,1.0,0.0,0.002956518204882741,4.288434411137131e-06,0.6420257687568665,0.2253880351781845,0.1211690679192543,0.0003328501188661903,0.008123445324599743
156,35401,CNNPolitics,10006,14116,Hillary Clinton,"Donna Brazile mulled trying to replace Hillary Clinton with Joe Biden as the Democratic nominee, a report says…",Real,2,100,13.6,15.8,140.5,-0.237,0.217,-0.121,1.0,0.1,0.0,1.29,0.05,0.8,0.0,0.18,0.0,0.0,0.67,0.17,0.33,0.0,0.47,0.85,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3120758533477783,0.6879242062568665,0.0,0.17731864750385284,0.30885395407676697,0.5138273239135742,0.006580318324267864,0.00017548486357554793,0.16488848626613614,0.7159433960914612,0.018436532467603683,0.06941138952970505,0.02456438541412353
157,25619,CNNPolitics,9802,14188,Hillary Clinton,"The academic at the heart of the Hillary Clinton “dirt” claim vanishes, leaving a trail of questions…",Real,2,100,-5.3,18.2,138.0,-0.255,0.163,0.124,0.1,0.0,0.2,1.18,1.52,0.76,0.0,0.0,1.26,1.14,0.42,0.0,1.24,0.0,0.38,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5459925532341003,0.2819257974624634,0.17208170890808105,0.18519337475299835,0.5094254612922668,0.3053811192512512,0.00016290819621644914,1.0857283072596148e-08,6.169790867716074e-05,0.9952929615974426,0.004466648679226637,2.7934261197515298e-06,1.301305110246176e-05
158,26832,ABCWorldNews,9770,9838,Hillary Clinton,NEW: Veteran FBI official who oversaw the launch of the federal probe into Hillary Clinton's private email server h…,Real,2,100,1.5,15.2,139.7,-0.028999999999999998,-0.17600000000000002,-0.023,0.42,0.06,0.0,0.0,2.44,2.42,1.36,3.11,3.26,1.25,0.0,0.71,0.36,0.0,2.88,1.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3914787173271179,0.6085213422775269,0.0,0.11530659347772597,0.7018683552742004,0.18282510340213776,7.828523607145144e-09,4.031240495428845e-16,4.876528336694719e-08,0.9998905658721924,7.641606458719252e-09,0.00010327082418370992,6.15605586062884e-06
159,23720,people,9757,14091,Hillary Clinton,Donna Brazile Says She Considered Replacing Hillary Clinton w/ Joe Biden After Clinton Fainted During 9/11 Memorial,Real,2,100,19.0,15.5,127.7,0.042,-0.226,-0.026000000000000002,0.91,0.0,1.45,1.12,1.54,1.09,0.0,2.1,2.51,0.9,0.39,0.0,0.34,0.23,0.5,0.51,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4802158176898956,0.30658769607543945,0.2131965309381485,0.0,0.0,1.0,0.002636370714753866,1.879717952471549e-12,0.583903431892395,2.9076838714559017e-09,2.4183742425520904e-05,0.4018816649913788,0.011554304510354996
