,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,screen_name,idx,clean_text,selection,binaryLabel,rq,cluster_labels,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,m0_anger,m0_happiness,m0_calm,m1_disgust,m1_sadness,m1_surprise,dpfc_angry,dpfc_disgust,dpfc_fear,dpfc_happy,dpfc_sad,dpfc_surprise,dpfc_neutral
0,0,0,0,0,0,30444,veteranstoday,30444,"Acclaimed Progressive Hip-Hop Duo, Riders Against the Storm - - Chaka and Qi...",happy,Fake,1,-1,14.1,17.6,150.5,-0.16399999999999998,-0.16899999999999998,0.17,1.51,0.0,0.57,0.73,2.14,1.0,0.21,2.67,2.52,1.89,0.59,0.0,0.0,0.0,2.51,0.58,0.67,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0.216324896,0.7836751340000001,0.0,0.001873042,0.757662237,0.240464747,2.47e-10,2.8699999999999997e-25,1.39e-16,1.0,5.320000000000001e-13,5.780000000000001e-12,1.16e-09
1,1,1,1,1,1,37273,veteranstoday,37273,Why did Donald Trump recognise Jerusalem as the capital of Israel? - - The decision o...,happy,Fake,1,129,1.7,4.9,145.3,-0.163,0.096,-0.058,0.67,0.43,0.64,0.0,3.02,2.65,1.9,2.33,2.88,0.58,0.14,0.0,0.7,0.0,2.45,1.5,0.0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0.387356699,0.612643301,0.0,0.160188317,0.813576162,0.026235607,1.48e-18,1.3999999999999998e-34,1.07e-13,0.999999642,7.299999999999999e-14,9.04e-14,3.39e-07
2,2,2,2,2,2,34771,veteranstoday,34771,1963: U.S President John F. Kennedy assassinated on this day in history - - On this 22...,happy,Fake,1,91,9.0,21.9,132.9,-0.11,-0.059,-0.078,0.29,0.0,3.25,0.0,2.53,1.8,0.98,3.19,2.76,1.86,0.32,0.0,0.84,0.0,2.51,0.21,0.25,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0.291779667,0.7082203029999999,0.0,0.152690977,0.555941463,0.291367531,7.020000000000001e-13,4.3700000000000004e-15,8.630000000000001e-08,0.999998689,1.68e-07,1.55e-12,9.81e-07
3,3,3,3,3,3,35070,veteranstoday,35070,"Thanksgiving for JFK - - If he had lived, President John F. Kennedy would have been 10...",happy,Fake,1,91,9.0,21.9,132.9,-0.11,-0.059,-0.078,0.29,0.0,3.25,0.0,2.53,1.8,0.98,3.19,2.76,1.86,0.32,0.0,0.84,0.0,2.51,0.21,0.25,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0.291779667,0.7082203029999999,0.0,0.152690977,0.555941463,0.291367531,7.020000000000001e-13,4.3700000000000004e-15,8.630000000000001e-08,0.999998689,1.68e-07,1.55e-12,9.81e-07
4,4,4,4,4,4,31139,veteranstoday,31139,Harvey Weinstein hired Mossad agents in 2016 to destroy Rose McGown - - ...by Jonas ...,happy,Fake,1,-1,-12.2,14.1,133.8,0.006,-0.052000000000000005,-0.102,0.0,0.0,0.0,0.17,1.13,2.11,0.0,1.14,2.35,1.39,0.0,0.0,1.24,0.0,1.2,0.8,0.0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0.233867154,0.766132832,0.0,0.165318236,0.179746345,0.65493542,5.88e-12,1.25e-16,6.19e-09,0.999998212,2.76e-08,3.23e-11,1.76e-06
5,5,5,5,5,5,35828,veteranstoday,35828,Nonprofit works to gets veterans back to work - - Much has changed in Chris White's li...,happy,Fake,1,-1,5.0,10.6,132.6,-0.04,0.021,-0.015,0.0,0.0,0.0,0.0,1.24,0.95,0.0,0.34,2.58,1.78,0.18,0.0,1.87,0.0,1.21,1.07,0.11,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0.382301271,0.617698729,0.0,0.106412463,0.526246846,0.367340684,5.92e-07,4.62e-20,5.73e-10,0.999998093,1.26e-06,1.49e-09,1.25e-09
6,6,6,6,6,6,30464,veteranstoday,30464,"Palestine, Zionism and Human Rights - - Rag Radio host Thorne Dreyer intervi...",happy,Fake,1,-1,20.5,15.4,141.1,-0.159,-0.004,0.059,0.0,0.0,2.62,0.53,1.96,1.9,1.69,1.48,0.86,2.11,1.32,0.47,1.95,0.56,0.0,0.0,0.0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0.489075333,0.415669888,0.095254801,0.051807404,0.721351683,0.226840913,6.890000000000002e-09,1.86e-23,8.35e-11,0.999997377,3.73e-10,1.68e-10,2.65e-06
7,7,7,7,7,7,30459,veteranstoday,30459,Political Scientist Harry Targ on the Rise of Resistance - - Harry Targ is a...,happy,Fake,1,-1,20.5,15.4,141.1,-0.159,-0.004,0.059,0.0,0.0,2.62,0.53,1.96,1.9,1.69,1.48,0.86,2.11,1.32,0.47,1.95,0.56,0.0,0.0,0.0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0.489075333,0.415669888,0.095254801,0.051807404,0.721351683,0.226840913,6.890000000000002e-09,1.86e-23,8.35e-11,0.999997377,3.73e-10,1.68e-10,2.65e-06
8,8,8,8,8,9,29795,veteranstoday,29795,Leading Civil Rights Activist Speaks Truth to Power,happy,Fake,1,-1,20.5,15.4,141.1,-0.159,-0.004,0.059,0.0,0.0,2.62,0.53,1.96,1.9,1.69,1.48,0.86,2.11,1.32,0.47,1.95,0.56,0.0,0.0,0.0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0.489075333,0.415669888,0.095254801,0.051807404,0.721351683,0.226840913,6.890000000000002e-09,1.86e-23,8.35e-11,0.999997377,3.73e-10,1.68e-10,2.65e-06
9,9,9,9,9,10,29545,veteranstoday,29545,Speaking Truth to Empire with Cindy Sheehan - - Dan Yaseen with Cindy Sheehan - Veteran...,happy,Fake,1,-1,8.9,12.2,144.1,0.008,0.037000000000000005,-0.079,0.6,0.0,0.79,0.0,3.65,3.26,0.73,2.96,3.86,1.61,0.0,0.0,1.47,0.02,3.52,0.67,0.0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0.399978191,0.60002178,0.0,0.0,0.0,1.0,6.389999999999999e-07,2.1099999999999998e-16,9.7e-10,0.999985695,1.46e-06,4.26e-07,1.18e-05
