,usertoken,date,account_index,tweet_index,condition_account,condition_accAlias,condition_block,condition_emotionSort,condition_showImage,condition_credibleLabel,condition_politicalLabel,biasChoice,biasCI,time,condition_showImage_cat
0,MFBfaMCt,09/10/20,0,0,CNNPolitics,G,True,angry,True,1,left,0.4966528480479733,0.7765430445842817,1599773654964.0,with image
1,MFBfaMCt,09/10/20,0,1,CNNPolitics,G,True,angry,True,1,left,0.7309546287415066,0.1160351675815594,1599773665476.0,with image
2,MFBfaMCt,09/10/20,0,2,CNNPolitics,G,True,angry,True,1,left,0.4988842935783879,0.2365332262239479,1599773681423.0,with image
3,MFBfaMCt,09/10/20,0,3,CNNPolitics,G,True,angry,True,1,left,0.6818628270723853,0.5087695809345294,1599773694654.0,with image
4,MFBfaMCt,09/10/20,0,4,CNNPolitics,G,True,angry,True,1,left,0.6818628270723853,0.3168652653188735,1599773705297.0,with image
5,MFBfaMCt,09/10/20,1,0,amlookout,B,True,angry,False,0,right,0.5033471846392171,0.5578614166528073,1599773746133.0,without image
6,MFBfaMCt,09/10/20,1,1,amlookout,B,True,angry,False,0,right,0.7331860742719212,0.1383496228857053,1599773753861.0,without image
7,MFBfaMCt,09/10/20,1,2,amlookout,B,True,angry,False,0,right,0.8893872614009434,0.1785156424331682,1599773761488.0,without image
8,MFBfaMCt,09/10/20,1,3,amlookout,B,True,angry,False,0,right,0.9540991817829668,0.0847949301557549,1599773769935.0,without image
9,MFBfaMCt,09/10/20,1,4,amlookout,B,True,angry,False,0,right,0.9496362907221376,0.05355469272995039,1599773776839.0,without image
10,MFBfaMCt,09/10/20,2,0,veteranstoday,A,True,angry,False,0,left,0.5033471846392171,0.20529298879814356,1599773796730.0,without image
11,MFBfaMCt,09/10/20,2,1,veteranstoday,A,True,angry,False,0,left,0.5011157391088025,0.14281251394653455,1599773802452.0,without image
12,MFBfaMCt,09/10/20,2,2,veteranstoday,A,True,angry,False,0,left,0.5078100757000463,0.24992189940643555,1599773809115.0,without image
13,MFBfaMCt,09/10/20,2,3,veteranstoday,A,True,angry,False,0,left,0.5055786301696317,0.3347168295621905,1599773816847.0,without image
14,MFBfaMCt,09/10/20,2,4,veteranstoday,A,True,angry,False,0,left,0.6684741538898977,0.1740527513723389,1599773824805.0,without image
15,MFBfaMCt,09/10/20,2,5,veteranstoday,A,True,angry,False,0,left,0.5926050058558012,0.2097558798589727,1599773832869.0,without image
16,MFBfaMCt,09/10/20,2,6,veteranstoday,A,True,angry,False,0,left,0.5725219960820698,0.09818360333824239,1599773843710.0,without image
17,MFBfaMCt,09/10/20,3,0,Jerusalem_Post,H,True,angry,True,1,right,0.5078100757000463,0.240996117284777,1599773864901.0,with image
18,MFBfaMCt,09/10/20,3,1,Jerusalem_Post,H,True,angry,True,1,right,0.5078100757000463,0.1606640781898514,1599773872983.0,with image
19,MFBfaMCt,09/10/20,3,2,Jerusalem_Post,H,True,angry,True,1,right,0.6751684904811415,0.1829785334939973,1599773878655.0,with image
20,MFBfaMCt,09/10/20,3,3,Jerusalem_Post,H,True,angry,True,1,right,0.6238452432816056,0.39273441335297,1599773885761.0,with image
21,MFBfaMCt,09/10/20,3,4,Jerusalem_Post,H,True,angry,True,1,right,0.7197974010894336,0.2142187709198018,1599773895396.0,with image
22,MFBfaMCt,09/10/20,3,5,Jerusalem_Post,H,True,angry,True,1,right,0.5055786301696317,0.2588476815280938,1599773911051.0,with image
23,MFBfaMCt,09/10/20,3,6,Jerusalem_Post,H,True,angry,True,1,right,0.5613647684299968,0.2499218994064356,1599773920471.0,with image
24,MFBfaMCt,09/10/20,4,0,nypost,F,True,angry,False,1,right,0.6930200547244584,0.1695898603115098,1599773942863.0,without image
25,MFBfaMCt,09/10/20,4,1,nypost,F,True,angry,False,1,right,0.4966528480479733,0.11157227652072998,1599773950871.0,without image
26,MFBfaMCt,09/10/20,4,2,nypost,F,True,angry,False,1,right,0.6283081343424348,0.20083009773731408,1599773959207.0,without image
27,MFBfaMCt,09/10/20,4,3,nypost,F,True,angry,False,1,right,0.4966528480479733,0.2276074441022894,1599773966087.0,without image
28,MFBfaMCt,09/10/20,4,4,nypost,F,True,angry,False,1,right,0.7711206482889694,0.1160351675815594,1599773975959.0,without image
29,MFBfaMCt,09/10/20,4,5,nypost,F,True,angry,False,1,right,0.49442140251755873,0.2945508100147276,1599773982130.0,without image
30,MFBfaMCt,09/10/20,5,0,MotherJones,E,True,angry,False,1,left,0.5033471846392171,0.30793948319721515,1599774016199.0,without image
31,MFBfaMCt,09/10/20,5,1,MotherJones,E,True,angry,False,1,left,0.6573169262378247,0.20083009773731408,1599774027914.0,without image
32,MFBfaMCt,09/10/20,5,2,MotherJones,E,True,angry,False,1,left,0.5948364513862158,0.21868166198063105,1599774036026.0,without image
33,MFBfaMCt,09/10/20,5,3,MotherJones,E,True,angry,False,1,left,0.6416968075249225,0.17851564243316842,1599774042064.0,without image
34,MFBfaMCt,09/10/20,5,4,MotherJones,E,True,angry,False,1,left,0.6193823522207764,0.20975587985897248,1599774050126.0,without image
35,MFBfaMCt,09/10/20,5,5,MotherJones,E,True,angry,False,1,left,0.5970678969166304,0.28562502789306904,1599774057973.0,without image
36,MFBfaMCt,09/10/20,6,0,opednews,C,True,angry,True,0,left,0.5792163326733136,0.30793948319721515,1599774079774.0,with image
37,MFBfaMCt,09/10/20,6,1,opednews,C,True,angry,True,0,left,0.8737671426880411,0.6684741538898977,1599774089426.0,with image
38,MFBfaMCt,09/10/20,6,2,opednews,C,True,angry,True,0,left,0.6818628270723853,0.2097558798589727,1599774094188.0,with image
39,MFBfaMCt,09/10/20,6,3,opednews,C,True,angry,True,0,left,0.6126880156295327,0.196367206676485,1599774102981.0,with image
40,MFBfaMCt,09/10/20,6,4,opednews,C,True,angry,True,0,left,0.7465747474544088,0.2320703351631186,1599774108527.0,with image
41,MFBfaMCt,09/10/20,6,5,opednews,C,True,angry,True,0,left,0.5792163326733136,0.3213281563797028,1599774117694.0,with image
42,MFBfaMCt,09/10/20,6,6,opednews,C,True,angry,True,0,left,0.7175659555590189,0.3659570669879948,1599774125289.0,with image
43,MFBfaMCt,09/10/20,7,0,InvestWatchBlog,D,True,angry,True,0,right,0.6684741538898977,0.5801758379077966,1599774141498.0,with image
44,MFBfaMCt,09/10/20,7,1,InvestWatchBlog,D,True,angry,True,0,right,0.6840942726028,0.3079394831972153,1599774148463.0,with image
45,MFBfaMCt,09/10/20,7,2,InvestWatchBlog,D,True,angry,True,0,right,0.6818628270723853,0.3525683938055073,1599774156180.0,with image
46,MFBfaMCt,09/10/20,7,3,InvestWatchBlog,D,True,angry,True,0,right,0.6305395798728495,0.1606640781898514,1599774161062.0,with image
47,MFBfaMCt,09/10/20,7,4,InvestWatchBlog,D,True,angry,True,0,right,0.5569018773691676,0.28116213683223995,1599774165708.0,with image
48,MFBfaMCt,09/10/20,7,5,InvestWatchBlog,D,True,angry,True,0,right,0.8826929248096995,0.762194866167311,1599774175953.0,with image
49,MFBfaMCt,09/10/20,7,6,InvestWatchBlog,D,True,angry,True,0,right,0.8559155784447243,0.6729370449507269,1599774181418.0,with image
50,yzE74Ra0,09/10/20,0,0,veteranstoday,A,True,happy,False,0,left,0.1762909732929482,0.35602195659536007,1599773860318.0,without image
51,yzE74Ra0,09/10/20,0,1,veteranstoday,A,True,happy,False,0,left,0.1762909732929482,0.3714826863418041,1599773895846.0,without image
52,yzE74Ra0,09/10/20,0,2,veteranstoday,A,True,happy,False,0,left,0.08932436846920053,0.35602195659536007,1599773889399.0,without image
53,yzE74Ra0,09/10/20,0,3,veteranstoday,A,True,happy,False,0,left,0.1704931996380317,0.26669758812615946,1599773909255.0,without image
54,yzE74Ra0,09/10/20,0,4,veteranstoday,A,True,happy,False,0,left,0.6401128656862691,0.25123685837971554,1599773923724.0,without image
55,yzE74Ra0,09/10/20,0,5,veteranstoday,A,True,happy,False,0,left,0.15889765232819866,0.31694495980210263,1599773930602.0,without image
56,yzE74Ra0,09/10/20,0,6,veteranstoday,A,True,happy,False,0,left,0.16856060841972617,0.31694495980210263,1599773942254.0,without image
57,yzE74Ra0,09/10/20,0,7,veteranstoday,A,True,happy,False,0,left,0.15503246989158764,0.3014842300556586,1599773946358.0,without image
58,yzE74Ra0,09/10/20,0,8,veteranstoday,A,True,happy,False,0,left,0.5705395818272709,0.34013605442176864,1599773963680.0,without image
59,yzE74Ra0,09/10/20,0,9,veteranstoday,A,True,happy,False,0,left,0.5376855311160774,0.3169449598021026,1599773976349.0,without image
60,yzE74Ra0,09/10/20,0,10,veteranstoday,A,True,happy,False,0,left,0.5512136696442159,0.2821583178726037,1599773985334.0,without image
61,yzE74Ra0,09/10/20,0,11,veteranstoday,A,True,happy,False,0,left,0.6806972812706847,0.30534941249226955,1599773997293.0,without image
62,yzE74Ra0,09/10/20,0,12,veteranstoday,A,True,happy,False,0,left,0.6806972812706847,0.3633271490414347,1599774005767.0,without image
63,yzE74Ra0,09/10/20,0,13,veteranstoday,A,True,happy,False,0,left,0.6768320988340737,0.3362708719851577,1599774013930.0,without image
64,yzE74Ra0,09/10/20,0,14,veteranstoday,A,True,happy,False,0,left,0.5222248013696333,0.3710575139146568,1599774020153.0,without image
65,yzE74Ra0,09/10/20,1,0,nypost,F,True,happy,True,1,right,0.45651669994724625,0.1855287569573284,1599774194123.0,with image
66,yzE74Ra0,09/10/20,1,1,nypost,F,True,happy,True,1,right,0.3714826863418041,0.25123685837971543,1599774205418.0,with image
67,yzE74Ra0,09/10/20,1,2,nypost,F,True,happy,True,1,right,0.6864950549256013,0.35946196660482355,1599774221519.0,with image
68,yzE74Ra0,09/10/20,1,3,nypost,F,True,happy,True,1,right,0.037144405574951925,0.1337739664902271,1599774238615.0,with image
69,yzE74Ra0,09/10/20,1,4,nypost,F,True,happy,True,1,right,0.05453772653970146,0.2188079800956693,1599774243821.0,with image
70,yzE74Ra0,09/10/20,1,5,nypost,F,True,happy,True,1,right,0.09125695968750602,0.24006648349702983,1599774253189.0,with image
71,yzE74Ra0,09/10/20,1,6,nypost,F,True,happy,True,1,right,0.04873995288478494,0.23426870984211332,1599774259815.0,with image
72,yzE74Ra0,09/10/20,1,7,nypost,F,True,happy,True,1,right,0.058402908976312465,0.1917517030393922,1599774263832.0,with image
73,yzE74Ra0,09/10/20,1,8,nypost,F,True,happy,True,1,right,0.03907699679325743,0.2188079800956693,1599774269166.0,with image
74,yzE74Ra0,09/10/20,1,9,nypost,F,True,happy,True,1,right,0.03521181435664642,0.1724257908563372,1599774273359.0,with image
75,yzE74Ra0,09/10/20,1,10,nypost,F,True,happy,True,1,right,0.06420068263122898,0.20527984156753076,1599774277531.0,with image
