,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,screen_name,happy_img_idx,angry_img_idx,person_name,clean_text,binaryLabel,rq,cluster_labels,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,m0_anger,m0_happiness,m0_calm,m1_disgust,m1_sadness,m1_surprise,dpfc_angry,dpfc_disgust,dpfc_fear,dpfc_happy,dpfc_sad,dpfc_surprise,dpfc_neutral
0,0,0,0,0,150,31063,ABCWorldNews,9596,13658,Hillary Clinton,Correction: Veteran FBI official briefly involved in the launch of the federal probe into Hillary Clinton's private…,Real,2,100,-1.6,12.5,140.4,-0.22,0.183,-0.125,1.32,1.16,0.13,1.33,0,0,0,0,0,0,0,0,0,0,0.59,1.55,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.470631808,0.210284755,0.319083512,0,0,1,0.008899678,9.67E-07,0.504069626,2.97E-05,0.007455618,0.477864057,0.00168039
1,1,1,1,1,151,36256,washingtonpost,9794,14132,Hillary Clinton,Joe Biden squashes idea that he might have taken over Hillary Clinton’s presidential run,Real,2,100,13.3,11.8,145.9,-0.161,0.01,-0.107,1.6,0.32,0,0.7,1.77,1.72,0.15,1.08,1.97,0.24,0.15,0,1.12,0,0.94,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0.315273046,0.684726954,0,0.039925352,0.948057652,0.012017051,2.40E-13,2.73E-24,5.73E-15,1,1.05E-09,2.42E-11,1.28E-10
2,2,2,3,3,153,3864,AP,9324,14072,Hillary Clinton,Former DNC chief Donna Brazile says she considered replacing Hillary Clinton with Joe Biden as presidential nominee.,Real,2,100,19.5,15.1,142.1,-0.166,-0.119,-0.014,0.27,0.38,0.62,1.17,0.26,0.35,0.22,1.12,0.84,0.05,0.34,0,0,0,0.45,1.08,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0.378710419,0.451266348,0.170023203,0.047425617,0.952574372,0,0.001264178,4.98E-12,0.002179089,0.189700037,0.000141057,0.004306736,0.802408993
3,3,3,4,4,154,4888,TelegraphNews,9952,14356,Hillary Clinton,Former Democrat chief considered replacing Hillary Clinton with Joe Biden,Real,2,100,0.6,19.6,127.8,-0.161,0.08,-0.014,1.16,0.6,0.83,1.17,1.18,0.85,0.06,0,1.86,0.88,0.36,0.69,1.6,0.35,1.02,1.28,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0.46939677,0.424750924,0.105852291,0.108102173,0.406951815,0.484945983,0.004150192,1.06E-05,0.156031922,0.152353123,0.029611813,0.011099088,0.646743238
4,4,4,5,5,155,15637,WashTimes,9297,9902,Hillary Clinton,Hillary Clinton’s birthday wraps with Donald Trump Jr. Twitter roast,Real,2,100,13.1,24.7,139.6,-0.129,-0.281,-0.032,0.46,0,0,0,1.54,2.81,0.06,3.76,2.57,1.56,1.56,0.06,1.35,0,1.48,0.4,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0.304489195,0.695510805,0,0,1,0,0.002956518,4.29E-06,0.642025769,0.225388035,0.121169068,0.00033285,0.008123445
5,5,5,6,6,156,35401,CNNPolitics,10006,14116,Hillary Clinton,"Donna Brazile mulled trying to replace Hillary Clinton with Joe Biden as the Democratic nominee, a report says…",Real,2,100,13.6,15.8,140.5,-0.237,0.217,-0.121,1,0.1,0,1.29,0.05,0.8,0,0.18,0,0,0.67,0.17,0.33,0,0.47,0.85,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0.312075853,0.687924206,0,0.177318648,0.308853954,0.513827324,0.006580318,0.000175485,0.164888486,0.715943396,0.018436532,0.06941139,0.024564385
6,6,6,7,9,159,23720,people,9757,14091,Hillary Clinton,Donna Brazile Says She Considered Replacing Hillary Clinton w/ Joe Biden After Clinton Fainted During 9/11 Memorial,Real,2,100,19,15.5,127.7,0.042,-0.226,-0.026,0.91,0,1.45,1.12,1.54,1.09,0,2.1,2.51,0.9,0.39,0,0.34,0.23,0.5,0.51,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0.480215818,0.306587696,0.213196531,0,0,1,0.002636371,1.88E-12,0.583903432,2.91E-09,2.42E-05,0.401881665,0.011554305
7,7,7,11,13,163,36587,australian,9731,13840,Hillary Clinton,"Is it Hillary Clinton? Is it Jon Voigt? No (we don’t think), it’s Donald Trump. Or at least it’s meant to be:",Real,2,100,10.7,7,135.9,0.021,-0.058,0.007,0.45,0,0.03,0.26,0.22,0.79,0.8,0,0,1.95,1.19,1.86,0.77,0.64,0,1.58,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0.366790444,0.510564566,0.122644968,0.010819796,0.989180207,0,0.003297395,3.12E-08,0.060414486,0.862297952,0.000936162,0.000501059,0.072552912
8,8,8,12,14,164,29964,nypost,9724,9570,Hillary Clinton,Jimmy Kimmel asked a bunch of people on the street if Hillary Clinton should be impeached or not:…,Real,2,100,10.9,19.7,146.7,-0.244,0.229,-0.024,2.26,1.22,0.58,1.39,0,0,0,0,0,0,0.78,0,0.38,0,0,0.17,0.53,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.445673436,0.177417472,0.376909107,0.138216555,0.483564287,0.378219098,0.234229952,9.01E-05,0.14376761,7.84E-05,0.564763069,0.00026665,0.056804143
9,9,9,14,16,166,31865,WashTimes,9408,14108,Hillary Clinton,"Cal Thomas: Of those polled, Trump supporters and those who voted for Hillary Clinton expressed disappointment abou…",Real,2,100,1.9,5.6,136.6,-0.271,0.166,-0.03,1.85,1.51,0,3.06,0,0.63,0,0,0,0,0,0.57,1.47,0.09,1.42,1.61,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.530450284,0.290520579,0.179029152,0.022932429,0.152030811,0.825036764,0.016784821,6.11E-11,0.624809265,0.321979463,1.47E-06,0.036425013,3.74E-11
